date,product,customer,region,quantity,unit_price,discount,revenue,month
2023-01-01,Laptop,CUST-9110,North,3,676.92,0.0,1624.608,2023-01
2023-01-02,Accessories,CUST-4840,North,3,429.62,0.0,1546.632,2023-01
2023-01-03,Tablet,CUST-2028,South,6,243.03,0.0,1749.816,2023-01
2023-01-04,Phone,CUST-8385,East,6,703.08,0.09662374967495348,4573.049573365443,2023-01
2023-01-05,Laptop,CUST-1502,North,6,482.82,0.0,3476.304,2023-01
2023-01-06,Laptop,CUST-7910,South,2,685.67,0.0,1645.608,2023-01
2023-01-07,Laptop,CUST-7938,North,1,260.84,0.0,208.672,2023-01
2023-01-08,Tablet,CUST-5488,East,2,410.09,0.26715818422196846,480.8497603718607,2023-01
2023-01-09,Phone,CUST-1206,North,3,500.79,0.0,1802.844,2023-01
2023-01-10,Tablet,CUST-6134,East,2,507.05,0.20373069574334687,968.9960417360063,2023-01
2023-01-11,Laptop,CUST-6977,South,1,432.49,0.0,518.9879999999999,2023-01
2023-01-12,Accessories,CUST-8721,West,3,593.43,0.0,2136.348,2023-01
2023-01-13,Tablet,CUST-8035,North,3,339.86,0.0,1223.496,2023-01
2023-01-14,Laptop,CUST-2484,South,2,478.64,0.0,765.8240000000001,2023-01
2023-01-15,Laptop,CUST-8858,North,1,518.04,0.17605233540626372,341.4702785329113,2023-01
2023-01-16,Laptop,CUST-1863,West,4,577.17,0.0,2770.4159999999997,2023-01
2023-01-17,Laptop,CUST-3790,West,4,606.74,0.0,2912.352,2023-01
2023-01-18,Phone,CUST-8408,North,2,331.3,0.038274090838669124,764.6875048923574,2023-01
2023-01-19,Phone,CUST-9755,East,1,269.88,0.0,323.856,2023-01
2023-01-20,Laptop,CUST-6116,West,1,691.65,0.0,829.9799999999999,2023-01
2023-01-21,Phone,CUST-7019,South,5,549.85,0.19377517239948036,1773.2108858245829,2023-01
2023-01-22,Laptop,CUST-2757,South,2,387.73,0.0,620.368,2023-01
2023-01-23,Laptop,CUST-8574,North,4,732.67,0.0,3516.816,2023-01
2023-01-24,Laptop,CUST-7374,North,5,517.35,0.2959545746378939,2185.4274048665134,2023-01
2023-01-25,Phone,CUST-7892,West,2,676.89,0.0,1624.5359999999998,2023-01
2023-01-26,Tablet,CUST-2678,West,2,510.13,0.0,1224.312,2023-01
2023-01-27,Laptop,CUST-4242,East,1,809.11,0.0,970.932,2023-01
2023-01-28,Phone,CUST-5636,South,1,763.3,0.04585774175529961,582.6374285745438,2023-01
2023-01-29,Phone,CUST-2059,South,1,462.66,0.0,370.12800000000004,2023-01
2023-01-30,Laptop,CUST-7668,East,4,645.74,0.0,3099.552,2023-01
2023-01-31,Phone,CUST-4157,West,3,596.81,0.05597010721539173,2028.2633291260152,2023-01
2023-02-01,Laptop,CUST-6915,West,3,705.29,0.08552855060815413,2321.8832467496695,2023-02
2023-02-02,Laptop,CUST-3693,East,2,355.26,0.0,852.6239999999999,2023-02
2023-02-03,Accessories,CUST-4627,East,3,602.91,0.0,2170.476,2023-02
2023-02-04,Accessories,CUST-6450,North,3,658.76,0.0,1581.0240000000001,2023-02
2023-02-05,Tablet,CUST-2663,North,1,236.19,0.1573534168710764,159.21975717537637,2023-02
2023-02-06,Laptop,CUST-6592,West,2,322.51,0.0,774.024,2023-02
2023-02-07,Laptop,CUST-8392,East,4,194.12,0.0,931.776,2023-02
2023-02-08,Phone,CUST-2306,North,5,459.59,0.033611670650415704,2664.854473714652,2023-02
2023-02-09,Phone,CUST-7776,North,4,607.63,0.11935667971372249,2568.505443386644,2023-02
2023-02-10,Laptop,CUST-6864,East,1,725.35,0.0,870.42,2023-02
2023-02-11,Phone,CUST-8526,North,1,511.11,0.25965213776819407,302.7193566922387,2023-02
2023-02-12,Laptop,CUST-9901,North,1,744.29,0.0,595.432,2023-02
2023-02-13,Accessories,CUST-6575,South,2,292.98,0.07737084811348195,648.748533407309,2023-02
2023-02-14,Laptop,CUST-6530,East,3,244.49,0.0,880.164,2023-02
2023-02-15,Phone,CUST-5413,East,3,491.67,0.0,1770.012,2023-02
2023-02-16,Laptop,CUST-4748,North,6,557.61,0.27881279673827575,2895.4166141575442,2023-02
2023-02-17,Phone,CUST-1663,East,2,495.1,0.0,1188.24,2023-02
2023-02-18,Phone,CUST-2998,North,4,189.88,0.0,607.616,2023-02
2023-02-19,Laptop,CUST-8994,South,5,486.63,0.08399372809808525,1783.0245283825152,2023-02
2023-02-20,Accessories,CUST-2495,East,3,304.33,0.23084787995758105,842.6738328930337,2023-02
2023-02-21,Tablet,CUST-4304,East,4,600.45,0.0,2882.1600000000003,2023-02
2023-02-22,Accessories,CUST-4763,West,3,554.99,0.0,1997.964,2023-02
2023-02-23,Tablet,CUST-6232,East,2,359.02,0.0,861.6479999999999,2023-02
2023-02-24,Phone,CUST-2853,South,5,422.92,0.0,2537.52,2023-02
2023-02-25,Accessories,CUST-7585,North,2,341.12,0.0,545.792,2023-02
2023-02-26,Laptop,CUST-2291,South,4,490.6,0.0,1569.92,2023-02
2023-02-27,Laptop,CUST-4581,North,2,643.27,0.18318601273248977,1261.036640614971,2023-02
2023-02-28,Laptop,CUST-8554,North,2,352.14,0.0,845.136,2023-02
2023-03-01,Laptop,CUST-8280,West,4,575.61,0.0,2762.928,2023-03
2023-03-02,Laptop,CUST-2636,South,1,420.46,0.0,504.55199999999996,2023-03
2023-03-03,Laptop,CUST-4696,West,2,381.07,0.14434203055644523,782.557397798053,2023-03
2023-03-04,Tablet,CUST-1698,East,2,483.95,0.0,774.32,2023-03
2023-03-05,Laptop,CUST-5737,East,1,344.71,0.0,275.768,2023-03
2023-03-06,Laptop,CUST-1854,South,2,416.95,0.0,1000.68,2023-03
2023-03-07,Phone,CUST-9164,South,3,320.32,0.0,1153.152,2023-03
2023-03-08,Laptop,CUST-6855,South,1,794.71,0.0,953.652,2023-03
2023-03-09,Tablet,CUST-8392,North,4,505.29,0.29698806971698355,1705.0795116129857,2023-03
2023-03-10,Laptop,CUST-7528,East,5,395.04,0.09670615349241689,2141.023206746134,2023-03
2023-03-11,Accessories,CUST-6249,North,5,532.1,0.0,2128.4,2023-03
2023-03-12,Tablet,CUST-6172,North,2,483.15,0.0,773.04,2023-03
2023-03-13,Laptop,CUST-2707,East,2,466.85,0.20445081666717876,891.3651269734262,2023-03
2023-03-14,Laptop,CUST-6791,North,1,592.13,0.22806835796690594,548.5006598364671,2023-03
